"codigo";"id_gen";"link_poster";"titulo";"ano_lancamento";"duracao";"class_indicada";"bilheteria";"avaliacao"
1;7;"https://www.imdb.com/title/tt1285016/mediaviewer/rm880244480/?ref_=ext_shr_lnk";"The Social Network";2010;"120min";"14";"$224.9M";7.8
2;13;"https://www.imdb.com/title/tt1853728/mediaviewer/rm958180352/?ref_=ext_shr_lnk";"Django Unchained";2012;"165min";"16";"$426M";8.5
3;8;"https://www.imdb.com/title/tt6751668/mediaviewer/rm3194916865/?ref_=ext_shr_lnk";"Parasite";2019;"132min";"16";"$258.1M";8.5
4;16;"https://www.imdb.com/title/tt1210166/mediaviewer/rm330480640/?ref_=ext_shr_lnk";"Moneyball";2011;"133min";"10";"$110.2M";7.6
5;16;"https://www.imdb.com/title/tt0109707/mediaviewer/rm1112216576/?ref_=ext_shr_lnk";"Ed Wood";1994;"127min";"14";"$13.8M";7.8
6;12;"https://www.imdb.com/title/tt0110357/mediaviewer/rm3272938240/?ref_=ext_shr_lnk";"The Lion King";1994;"88min";"Livre";"$979.1M";8.5
7;2;"https://www.imdb.com/title/tt0172495/mediaviewer/rm2442542592/?ref_=ext_shr_lnk";"Gladiator";2000;"155min";"16";"$457M";8.5
8;6;"https://www.imdb.com/title/tt1375666/mediaviewer/rm3426651392/?ref_=ext_shr_lnk";"Inception";2010;"155min";"14";"$828M";8.8
9;6;"https://www.imdb.com/title/tt0499549/mediaviewer/rm2864126209/?ref_=ext_shr_lnk";"Avatar";2009;"162min";"14";"$2.744B";7.9
10;3;"https://www.imdb.com/title/tt0109830/mediaviewer/rm1954748672/?ref_=ext_shr_lnk";"Forrest Gump";1994;"142min";"14";"$677M";8.8
11;3;"https://www.imdb.com/title/tt0120338/mediaviewer/rm2647458304/?ref_=ext_shr_lnk";"Titanic";1997;"194min";"14";"$1.84B";7.9
12;2;"https://www.imdb.com/title/tt4154796/mediaviewer/rm2775147008/?ref_=ext_shr_lnk";"Avengers: Endgame";2019;"181min";"14";"$2.799B";8.4
13;6;"https://www.imdb.com/title/tt0133093/mediaviewer/rm525547776/?ref_=ext_shr_lnk";"The Matrix";1999;"136min";"14";"$467.8M";8.7
14;6;"https://www.imdb.com/title/tt0468569/mediaviewer/rm4023877632/?ref_=ext_shr_lnk";"The Dark Knight";2008;"152min";"14";"$1.004B";9.1
15;2;"https://www.imdb.com/title/tt1392190/mediaviewer/rm3064749568/?ref_=ext_shr_lnk";"Mad Max: Fury Road";2015;"120min";"18";"$380M";8.1
16;6;"https://www.imdb.com/title/tt0816692/mediaviewer/rm4043724800/?ref_=ext_shr_lnk";"Interstellar";2014;"169min";"14";"$681M";8.7
17;7;"https://www.imdb.com/title/tt0947798/mediaviewer/rm1503101184/?ref_=ext_shr_lnk";"Black Swan";2010;"108min";"18";"$330M";8.0
18;2;"https://www.imdb.com/title/tt1825683/mediaviewer/rm172972800/?ref_=ext_shr_lnk";"Black Panther";2018;"134min";"14";"$1.348B";7.3
19;11;"https://www.imdb.com/title/tt3783958/mediaviewer/rm3967749632/?ref_=ext_shr_lnk";"La La Land";2016;"128min";"14";"$471M";8.0
20;16;"https://www.imdb.com/title/tt0253474/mediaviewer/rm902038272/?ref_=ext_shr_lnk";"The Pianist";2002;"150min";"18";"$120M";8.5
