"codigo";"diretor";"escritor";"compositor";"ator_1";"ator_2"
1;"David Fincher";"Aaron Sorkin";"Trent Reznor, Atticus Ross";"Mark Zuckerberg";"Erica Albright"
2;"Quentin Tarantino";"Quentin Tarantino";"";"Jamie Foxx";"Leonardo DiCaprio"
3;"Bong Joon Ho";"Bong Joon Ho, Han Jin-won";"Jung Jae-il";"Song Kang-ho";"Lee Sun-kyun"
4;"Bennett Miller";"Steven Zaillian, Aaron Sorkin";"Mychael Danna";"Brad Pitt";"Jonah Hill"
5;"Tim Burton";"Scott Alexander, Larry Karaszewski";"Howard Shore";"Johnny Depp";"Martin Landau"
6;"Roger Allers, Rob Minkoff";"Irene Mecchi, Jonathan Roberts";"Hans Zimmer";"Matthew Broderick";"Jim Cummings"
7;"Ridley Scott";"David Franzoni, John Logan";"Lisa Gerrard, Hans Zimmer";"Russell Crowe";"Joaquin Phoenix"
8;"Christopher Nolan";"Christopher Nolan";"Hans Zimmer";"Leonardo DiCaprio";"Joseph Gordon-Levitt"
9;"James Cameron";"James Cameron";"James Horner";"Sam Worthington";"Zoe Saldaña"
10;"Robert Zemeckis";"Eric Roth";"Alan Silvestri";"Tom Hanks";"Rebecca Williams"
11;"James Cameron";"James Cameron";"James Horner";"Leonardo DiCaprio";"Kate Winslet"
12;"Anthony Russo, Joe Russo";"Christopher Markus, Stephen McFeely";"Alan Silvestri";"Robert Downey Jr.";"Chris Evans"
13;"Lana Wachowski, Lilly Wachowski";"Lana Wachowski, Lilly Wachowski";"Don Davis";"Keanu Reeves";"Laurence Fishburne"
14;"Christopher Nolan";"Jonathan Nolan, Christopher Nolan";"James Newton Howard, Hans Zimmer";"Christian Bale";"Heath Ledger"
15;"George Miller";"George Miller, Brendan McCarthy";"Tom Holkenborg";"Tom Hardy";"Charlize Theron"
16;"Christopher Nolan";"Jonathan Nolan, Christopher Nolan";"Hans Zimmer";"Matthew McConaughey";"Ellen Burstyn"
17;"Darren Aronofsky";"Mark Heyman";"Clint Mansell";"Natalie Portman";"Mila Kunis"
18;"Ryan Coogler";"Ryan Coogler, Joe Robert Cole";"Ludwig Göransson";"Chadwick Boseman";"Michael B. Jordan"
19;"Damien Chazelle";"Damien Chazelle";"Justin Hurwitz";"Ryan Gosling";"Emma Stone"
20;"Roman Polanski";"Ronald Harwood";"Wojciech Kilar";"Adrien Brody";"Emilia Fox"
